fraudulent,charge_time,amount,card_country,card_use_24h
False,2015-12-31T23:59:59Z,20484,US,0
False,2015-12-31T23:59:59Z,1211,US,0
False,2015-12-31T23:59:59Z,8396,US,1
False,2015-12-31T23:59:59Z,2359,US,0
False,2015-12-31T23:59:59Z,1480,US,3
False,2015-12-31T23:59:59Z,535,US,3
False,2015-12-31T23:59:59Z,1632,US,0
False,2015-12-31T23:59:59Z,10305,US,1
False,2015-12-31T23:59:59Z,2783,US,0
False,2015-12-31T23:59:59Z,939,US,0
False,2015-12-31T23:59:59Z,2256,US,0
False,2015-12-31T23:59:59Z,2366,US,0
False,2015-12-31T23:59:59Z,2426,US,1
False,2015-12-31T23:59:59Z,7795,US,1
False,2015-12-31T23:59:59Z,483,US,3
False,2015-12-31T23:59:59Z,7068,US,0
False,2015-12-31T23:59:58Z,7689,AU,1
False,2015-12-31T23:59:58Z,23856,US,0
False,2015-12-31T23:59:58Z,13424,US,0
False,2015-12-31T23:59:58Z,707,US,0
False,2015-12-31T23:59:58Z,1889,US,0
False,2015-12-31T23:59:58Z,780,US,0
False,2015-12-31T23:59:58Z,2399,US,2
False,2015-12-31T23:59:58Z,840,US,1
False,2015-12-31T23:59:58Z,12541,US,0
False,2015-12-31T23:59:58Z,3205,US,0
False,2015-12-31T23:59:58Z,882,US,0
False,2015-12-31T23:59:58Z,36838,US,0
False,2015-12-31T23:59:58Z,1924,US,1
False,2015-12-31T23:59:58Z,19617,US,0
False,2015-12-31T23:59:58Z,1727,US,1
False,2015-12-31T23:59:58Z,2728,US,1
False,2015-12-31T23:59:57Z,4616,US,2
False,2015-12-31T23:59:57Z,4886,US,1
False,2015-12-31T23:59:57Z,726,US,2
False,2015-12-31T23:59:57Z,415,US,1
True,2015-12-31T23:59:57Z,1038,AU,4
False,2015-12-31T23:59:57Z,681,US,0
False,2015-12-31T23:59:57Z,1406,US,1
False,2015-12-31T23:59:57Z,3970,US,1
False,2015-12-31T23:59:57Z,1344,US,2
False,2015-12-31T23:59:57Z,465,US,0
False,2015-12-31T23:59:57Z,3540,US,0
False,2015-12-31T23:59:57Z,9776,US,0
False,2015-12-31T23:59:57Z,2568,GB,0
False,2015-12-31T23:59:57Z,77753,US,1
False,2015-12-31T23:59:57Z,9871,US,1
False,2015-12-31T23:59:57Z,4420,US,11
False,2015-12-31T23:59:57Z,2066,US,0
False,2015-12-31T23:59:57Z,6350,US,1
False,2015-12-31T23:59:57Z,1962,US,1
False,2015-12-31T23:59:57Z,1476,US,1
False,2015-12-31T23:59:57Z,-96,US,10
False,2015-12-31T23:59:57Z,3113,US,5
False,2015-12-31T23:59:57Z,1570,US,5
False,2015-12-31T23:59:57Z,9948,US,5
False,2015-12-31T23:59:56Z,7364,US,1
False,2015-12-31T23:59:56Z,4103,US,2
False,2015-12-31T23:59:56Z,1407,US,2
False,2015-12-31T23:59:56Z,694,US,2
False,2015-12-31T23:59:56Z,686,US,0
False,2015-12-31T23:59:56Z,1229,US,2
False,2015-12-31T23:59:56Z,7963,US,1
False,2015-12-31T23:59:56Z,946,US,3
False,2015-12-31T23:59:56Z,3571,US,0
False,2015-12-31T23:59:56Z,2129,US,0
False,2015-12-31T23:59:56Z,1363,US,0
False,2015-12-31T23:59:56Z,16945,US,2
False,2015-12-31T23:59:56Z,9215,US,0
False,2015-12-31T23:59:56Z,5400,US,2
False,2015-12-31T23:59:56Z,5458,US,2
False,2015-12-31T23:59:56Z,14365,US,0
False,2015-12-31T23:59:56Z,895,US,1
False,2015-12-31T23:59:56Z,2345,US,1
False,2015-12-31T23:59:55Z,950,US,1
False,2015-12-31T23:59:55Z,2251,US,1
False,2015-12-31T23:59:55Z,1116,US,0
False,2015-12-31T23:59:55Z,5251,US,0
False,2015-12-31T23:59:55Z,2193,US,1
False,2015-12-31T23:59:55Z,2327,US,3
False,2015-12-31T23:59:55Z,225,US,4
False,2015-12-31T23:59:55Z,696,US,1
False,2015-12-31T23:59:55Z,1048,US,9
False,2015-12-31T23:59:55Z,35233,US,3
False,2015-12-31T23:59:55Z,2956,US,0
False,2015-12-31T23:59:55Z,1605,US,1
False,2015-12-31T23:59:55Z,12595,US,0
False,2015-12-31T23:59:55Z,2481,US,1
False,2015-12-31T23:59:55Z,439,US,3
False,2015-12-31T23:59:55Z,793,US,3
False,2015-12-31T23:59:55Z,1499,US,0
False,2015-12-31T23:59:55Z,9980,US,1
False,2015-12-31T23:59:55Z,806,US,0
False,2015-12-31T23:59:55Z,2888,US,3
False,2015-12-31T23:59:55Z,2872,US,1
False,2015-12-31T23:59:55Z,12948,US,17
False,2015-12-31T23:59:55Z,999,US,0
False,2015-12-31T23:59:54Z,49581,US,0
False,2015-12-31T23:59:54Z,962,US,1
False,2015-12-31T23:59:54Z,770,US,3
False,2015-12-31T23:59:54Z,1468,US,1
False,2015-12-31T23:59:54Z,6940,US,1
False,2015-12-31T23:59:54Z,91,US,2
False,2015-12-31T23:59:54Z,3569,US,1
False,2015-12-31T23:59:54Z,-178,US,4
False,2015-12-31T23:59:54Z,2585,US,0
False,2015-12-31T23:59:54Z,3622,US,0
False,2015-12-31T23:59:54Z,2044,US,2
False,2015-12-31T23:59:54Z,574,US,2
False,2015-12-31T23:59:54Z,707,US,0
False,2015-12-31T23:59:54Z,2207,US,3
False,2015-12-31T23:59:54Z,18102,US,2
False,2015-12-31T23:59:54Z,6113,GB,0
False,2015-12-31T23:59:54Z,1220,US,15
False,2015-12-31T23:59:54Z,2683,US,0
True,2015-12-31T23:59:54Z,5717,AU,1
False,2015-12-31T23:59:54Z,4018,US,3
False,2015-12-31T23:59:53Z,2649,US,2
False,2015-12-31T23:59:53Z,1947,US,3
False,2015-12-31T23:59:53Z,671,US,5
False,2015-12-31T23:59:53Z,884,US,0
False,2015-12-31T23:59:53Z,365,US,1
True,2015-12-31T23:59:53Z,5100,AU,2
False,2015-12-31T23:59:53Z,19179,US,1
False,2015-12-31T23:59:53Z,1344,US,1
False,2015-12-31T23:59:53Z,2883,US,1
False,2015-12-31T23:59:53Z,2950,US,0
False,2015-12-31T23:59:53Z,2177,US,0
False,2015-12-31T23:59:53Z,1961,US,1
False,2015-12-31T23:59:53Z,1284,US,9
False,2015-12-31T23:59:53Z,8841,US,1
False,2015-12-31T23:59:53Z,2437,US,3
False,2015-12-31T23:59:53Z,2004,US,1
False,2015-12-31T23:59:53Z,632,US,4
False,2015-12-31T23:59:53Z,3891,US,9
False,2015-12-31T23:59:52Z,7922,US,1
False,2015-12-31T23:59:52Z,199668,US,2
False,2015-12-31T23:59:52Z,4017,US,1
False,2015-12-31T23:59:52Z,4005,US,2
False,2015-12-31T23:59:52Z,2022,US,1
False,2015-12-31T23:59:52Z,2776,US,1
False,2015-12-31T23:59:52Z,10372,US,2
False,2015-12-31T23:59:52Z,2838,GB,0
False,2015-12-31T23:59:52Z,2370,US,0
False,2015-12-31T23:59:52Z,4514,US,13
False,2015-12-31T23:59:52Z,494,US,1
False,2015-12-31T23:59:52Z,13798,US,1
False,2015-12-31T23:59:52Z,10906,US,0
False,2015-12-31T23:59:52Z,531,US,0
False,2015-12-31T23:59:52Z,2821,US,1
False,2015-12-31T23:59:52Z,742,US,4
False,2015-12-31T23:59:52Z,15162,US,0
False,2015-12-31T23:59:52Z,40022,AU,1
False,2015-12-31T23:59:52Z,2028,US,0
False,2015-12-31T23:59:52Z,-242,US,0
False,2015-12-31T23:59:52Z,1956,US,5
False,2015-12-31T23:59:52Z,7223,US,0
False,2015-12-31T23:59:52Z,969,US,3
False,2015-12-31T23:59:52Z,19761,US,13
False,2015-12-31T23:59:51Z,4378,US,6
False,2015-12-31T23:59:51Z,2133,US,1
False,2015-12-31T23:59:51Z,2894,US,1
False,2015-12-31T23:59:51Z,7283,US,0
False,2015-12-31T23:59:51Z,2932,US,2
False,2015-12-31T23:59:51Z,11373,US,11
False,2015-12-31T23:59:51Z,77,US,3
False,2015-12-31T23:59:51Z,513,US,3
False,2015-12-31T23:59:51Z,5147,US,1
False,2015-12-31T23:59:51Z,6995,US,1
False,2015-12-31T23:59:51Z,15421,US,0
False,2015-12-31T23:59:50Z,1647,US,6
False,2015-12-31T23:59:50Z,2952,US,1
True,2015-12-31T23:59:50Z,1817,AU,2
False,2015-12-31T23:59:50Z,5245,US,0
False,2015-12-31T23:59:50Z,243,US,0
False,2015-12-31T23:59:50Z,5679,US,0
False,2015-12-31T23:59:50Z,18444,US,3
False,2015-12-31T23:59:50Z,5294,US,0
False,2015-12-31T23:59:50Z,11506,US,1
False,2015-12-31T23:59:50Z,4120,US,2
False,2015-12-31T23:59:50Z,9444,US,3
False,2015-12-31T23:59:49Z,12373,US,1
False,2015-12-31T23:59:49Z,2877,US,0
False,2015-12-31T23:59:49Z,5322,US,0
False,2015-12-31T23:59:49Z,19932,US,4
False,2015-12-31T23:59:49Z,311,US,0
False,2015-12-31T23:59:49Z,1582,US,3
False,2015-12-31T23:59:49Z,1343,US,0
False,2015-12-31T23:59:49Z,3660,US,0
False,2015-12-31T23:59:49Z,1667,US,3
False,2015-12-31T23:59:49Z,737,US,0
False,2015-12-31T23:59:49Z,2054,US,0
False,2015-12-31T23:59:49Z,813,US,2
